family,n_A,n_B,n_eff,imbalance_ratio,bandwidth_condition,n_outer,A_bar_median,A_bar_mean,A_bar_std,A_bar_q90,A_bar_q95,A_bar_q99,A_w_median,A_w_mean,A_w_std,A_w_q90,A_w_q95,A_w_q99,B_bar_median,B_bar_mean,B_bar_std,B_bar_q90,B_bar_q95,B_bar_q99,ks_stat_median,ks_stat_mean,ks_stat_std,ks_stat_q90,ks_stat_q95,ks_stat_q99,abs_B_bar_median
A_interior_unimodal,50,500,90.90909090909092,10.0,independent,1000,0.2009998356335904,0.20313850713728543,0.06264160927463878,0.28464957935026175,0.3097426169617904,0.3821694540609535,0.08524612503513376,0.0893458564072564,0.03326358529764575,0.13420831592221408,0.15130930857514477,0.18358742377633322,0.06146220938045553,0.0421992183084841,0.12308115259793699,0.18572416575032227,0.20771101476973874,0.24428741726311962,0.118,0.124762,0.03911492468781365,0.178,0.196,0.25004,0.10352561517996559
A_interior_unimodal,50,500,90.90909090909092,10.0,shared_pooled,1000,0.2487233289810119,0.2545451645948481,0.06442518776122554,0.3402091259082888,0.3646110500760204,0.4352332715309444,0.10669425181269643,0.11189784702344084,0.033796696369343356,0.15798932281778671,0.176493943076285,0.2031052108702501,-0.09896144088810717,-0.10044258626898774,0.11562277120965136,0.053693327005269846,0.09730305078361046,0.15906907094407557,0.12,0.126204,0.03871280234063487,0.18,0.196,0.24003999999999995,0.11088900569189568
A_interior_unimodal,150,1350,270.0,9.0,independent,1000,0.1565031928888178,0.15766733556241397,0.045417052441826526,0.21497985532798633,0.2343625512020291,0.2685138435521674,0.05684207764840715,0.060421094283380994,0.019997096044034247,0.08702079465259928,0.09622377544073449,0.11722213768008363,0.06220749877196125,0.052146976986830115,0.08672200750370962,0.15779233536208626,0.17307358326787384,0.20476107540816751,0.07111111111111111,0.07380296296296296,0.02227061358242528,0.10296296296296296,0.11703703703703704,0.1385259259259259,0.08157561054424949
A_interior_unimodal,150,1350,270.0,9.0,shared_pooled,1000,0.1833376246884837,0.18671764408185446,0.046975960142896026,0.2485910618693339,0.27019990046636994,0.3039283760164539,0.07048424116432256,0.07337344578649604,0.020424012620544444,0.10010988640658769,0.11008517562845377,0.13274273521000457,-0.06664962742246766,-0.06365359037037371,0.0876997723328742,0.054949158544386006,0.09158914987658393,0.13948753513007303,0.06888888888888889,0.07362148148148148,0.024038410070946578,0.10592592592592592,0.11925925925925926,0.1452074074074074,0.08235956733748409
B_broad_interior,50,50,50.0,1.0,independent,1000,0.1207708075012848,0.12690095077722363,0.05379407402574743,0.20029962885509253,0.23148426917827367,0.28173051175937536,0.09945786346507321,0.10489456303714063,0.044280229033400474,0.16386873420260317,0.18906937068583682,0.23073066468447395,0.00048511376258083064,-0.00017587695273744785,0.04404404546757255,0.05228776571972303,0.06670020956245397,0.10646719412835565,0.16,0.16444000000000006,0.05199798255884732,0.24,0.26,0.3,0.027722558065254813
B_broad_interior,50,50,50.0,1.0,shared_pooled,1000,0.12904573722235868,0.13710616667751754,0.05230377591811523,0.207840137739447,0.23032232347356754,0.27380419447543725,0.10844633957625963,0.11415169178044371,0.04456377520858633,0.17559631710491602,0.19760076256195502,0.23754059077174824,0.0007502921080330995,0.0024334525234610323,0.04206900825929788,0.054878920117997644,0.07149296915986626,0.10206218414308756,0.16,0.16460000000000002,0.05249758085851191,0.24,0.26,0.3,0.02601899112491369
B_broad_interior,200,200,200.0,1.0,independent,1000,0.07124773068242628,0.07472033280355739,0.02647941762639819,0.10984213624738716,0.12207289132419488,0.14820182378756253,0.05934307608645635,0.06194853343602862,0.02202259073743751,0.09090661854095881,0.10140569948484955,0.12352736066742319,-0.0019921058494334187,-0.0010452444203115985,0.02280537707839072,0.027362319695891955,0.03696771311016305,0.05161361597635302,0.08,0.083595,0.025584282880912072,0.115,0.13,0.165,0.01509601196327294
B_broad_interior,200,200,200.0,1.0,shared_pooled,1000,0.07954100851654244,0.08245638623507119,0.026613699349228758,0.11864729437685724,0.13059511792694622,0.15301135603500401,0.06706137246818114,0.06866163236579009,0.022705810805748246,0.09822366671340063,0.10729722208612577,0.12571817893329748,2.0484327780480142e-05,-0.0004783572799536176,0.023857989028488447,0.029243897438882123,0.03825937897597793,0.053086009610017665,0.08,0.085545,0.02617370890871292,0.12,0.13,0.15504999999999997,0.016345483147248423
B_broad_interior,800,800,800.0,1.0,independent,1000,0.04399289398544496,0.045045845734941074,0.013878917039271695,0.06325148823208462,0.06978269963601434,0.08104993953869506,0.03647532544260851,0.03754947869518114,0.011535666090865563,0.05223819865532203,0.058106159621583095,0.06707355060915063,0.00022389723502578163,0.00011170983003722568,0.012824249517325333,0.0169712023181034,0.022013028292221123,0.029043803848371283,0.04,0.04267749999999999,0.012569740137215134,0.06,0.06625,0.07877499999999998,0.008884509669401543
B_broad_interior,800,800,800.0,1.0,shared_pooled,1000,0.047243846947139886,0.04884530817206108,0.01404040060870908,0.0676182687993501,0.07313481083443023,0.08423779646432887,0.0392350441901909,0.04028946812707697,0.011295661085258302,0.05463874060769798,0.060415206828990306,0.07035452688152995,9.978142118456526e-05,0.00014574942241824023,0.013691933828860107,0.018039779269701083,0.0227088008324945,0.03146978842352973,0.04,0.04261750000000001,0.012994544121550666,0.06125,0.0675,0.08001249999999999,0.009060528551373471
